Club;Adresse
A.s. Chelles Et Cheminots;Complexe sportif Maurice Grouselle 61 avenue Henin prolongée, 77500 Chelles, France
A.s. Corbeil- Essonnes Ck;Adresse non disponible
Aixe Canoe Kayak;Adresse de nos locaux et rdv pour les stages : Rue des Deux Ponts Site de location : Moulin de la Mie à St Priest sous Aixe, 87700 Aixe-sur-Vienne, France
Albi Kayak Canoe;Pont de Cantepau, 81000 Albi, France
Alck Bagneres De Bigorre;65200 Bagnères-de-Bigorre, France
Alliance Ck Val De Loire;Centre-Val de Loire, France
Amicale Laique Pontouvre;17 Av. du Général de Gaulle, 16160 Gond-Pontouvre, France
Amicale Laique Toul Canoe Kayak;93 Rue de la Baignade des Chevaux, 54200 Toul, France
Ancerville-bar Le Duc;55170 Ancerville, France
Angouleme Canoe Kayak;4 Pl. de Bourgines, 16000 Angoulême, France
Annonay Canoe Kayak Club;15 Rue de Fontanes, 07100 Annonay, France
As Gerardmer Canoe Kayak;88400 Gérardmer, France
Ascpa C.k. Strasbourg;20 Rue de la Plaine des Bouchers, 67100 Strasbourg, France
Ass. Estienne Canoe Kayak;Adresse non disponible
Ass. Nautique Vierzon;18100 Vierzon, France
Ass. Sportive Mantaise;Bd Sully, 78200 Mantes-la-Jolie, France
Athletic Club De Boulogne;Adresse non disponible
Bac Ck Sevres Issy;4 Rue de Saint-Cloud, 92310 Sèvres, France
Bommes Nautique Ck;22 Le Tachon, 33210 Bommes, France
Bourg Canoe Kayak Eaux Vives;Adresse non disponible
Bugey Rhone Canoe Kayak;Chem. du Point Vert, 01470 Serrières-de-Briord, France
C.c.k. Vallee Du Sanon;Grande Rue, 54370 Einville-au-Jard, France
C.k. Audincourtois;Adresse non disponible
C.k. Bousse Hagondange;Hagondange, France
C.k. Chateau Thebaud;Château-Thébaud, France
C.k. Dormans Eaux Libres;51700 Dormans, France
C.k. Mortagne Sur Sevre;85290 Mortagne-sur-Sèvre, France
C.k. Pont De Roide;14 bis Rue du Général Herr, 25150 Pont-de-Roide, France
C.k. St Maurice Gourdans;Chem. de Saint-Maurice-de-Gourdans, 01120 Dagneux, France
C.k.c Plancoet;22130 Plancoët, France
C.k.c. Beaurainvillois;Adresse non disponible
C.k.c. De L'ill Selestat;67600 Sélestat, France
C.k.c. Guingampais;22200 Guingamp, France
C.k.c. Nancy Tomblaine;54510 Tomblaine, France
C.k.c.i.r. St Gregoire;Canoë Kayak Club de l'Ile Robinson Robinson, 35760 Saint-Grégoire, France
C.p.a. La Voulzie - Lathus;La Voulzie, 86390 Lathus-Saint-Rémy, France
Cadpa Huningue;8 All. des Marronniers, 68330 Huningue, France
Canoe Associatif Romanais Peageois;19 Av. Duchesne, 26100 Romans-sur-Isère, France
Canoe Club Du Lie;lieu dit, Le Pont Querra, 22210 Plémet, France
Canoe Kayak 10;Adresse non disponible
Canoe Kayak Annemasse Mont-blanc;35 Rte des Déportés, 74100 Etrembières, France
Canoe Kayak Aturin;Rue de la Violette, 40800 Aire-sur-l'Adour, France
Canoe Kayak Aubeterre;6 route de riberac, 16390 Aubeterre-sur-Dronne, France
Canoe Kayak Cern;Espl. des Particules 1, 1211 Meyrin, Switzerland
Canoe Kayak Clisson;44190 Clisson, France
Canoe Kayak Club Acigne;58 Rue du Fort de la Motte, 35690 Acigné, France
Canoe Kayak Club Bourg Saint Andeol;07700 Bourg-Saint-Andéol, France
Canoe Kayak Club Brionne;6B Av. de la République, 27800 Brionne, France
Canoe Kayak Club Cessenon;Impasse du, Rue du Viognier, 34460 Cessenon-sur-Orb, France
Canoe Kayak Club De Chasseneuil Du Poitou;Chasseneuil-du-Poitou, France
Canoe Kayak Club De Mehun;Adresse non disponible
Canoe Kayak Club De Tours;5 Av. de Florence, 37000 Tours, France
Canoe Kayak Club De Vichy;Chem. de Beauregard, 03700 Bellerive-sur-Allier, France
Canoe Kayak Club Des Trois Rivieres;Av. du 11 Novembre, 26760 Beaumont-lès-Valence, France
Canoe Kayak Club Du Mans;2 Rue Paul Doumer, 72100 Le Mans, France
Canoe Kayak Club Fertois;Av. du Général de Gaulle, 72400 La Ferté-Bernard, France
Canoe Kayak Club France;France
Canoe Kayak Club Orleans;Base De L'ile Charlemagne, 45650 Saint-Jean-le-Blanc, France
Canoe Kayak Club Poitevin;Av. de Lorch, 86280 Saint-Benoît, France
Canoe Kayak Club Sabolien;Adresse non disponible
Canoe Kayak Club Senonais;Quai Boffrand, 89100 Sens, France
Canoe Kayak Club Sevrier;Sévrier, France
Canoe Kayak Club St Omer;Saint-Omer, France
Canoe Kayak Club St Victurnien;13 Rte d'Aixe, 87420 Saint-Victurnien, France
Canoe Kayak Club Sud Marensin;Adresse non disponible
Canoe Kayak Club Therain;Adresse non disponible
Canoe Kayak Club Vallee Du Dropt;47800 La Sauvetat-du-Dropt, France
Canoe Kayak De Quimperle;29300 Quimperlé, France
Canoe Kayak De Vertou;Vertou, France
Canoe Kayak Des Gaves;Adresse non disponible
Canoe Kayak Dolois;Adresse non disponible
Canoe Kayak Du Pays De Broceliande;Rte d'Iffendic, 35160 Montfort-sur-Meu, France
Canoe Kayak Du Val D'albret;156 Rue de la Cale, 47230 Lavardac, France
Canoe Kayak Florentais;Adresse non disponible
Canoe Kayak Fontenay Le Comte;Adresse non disponible
Canoe Kayak Haute Isere;1090 Rte d'Hauteville, 73700 Bourg-Saint-Maurice, France
Canoe Kayak Jarnac Sports;16200 Jarnac, France
Canoe Kayak Lagny;119 Quai de la Gourdine, 77400 Lagny-sur-Marne, France
Canoe Kayak Le Mas D'agenais;47430 Le Mas-d'Agenais, France
Canoe Kayak Montreuil;Adresse non disponible
Canoe Kayak Pontarlier;25300 Pontarlier, France
Canoe Kayak Pontivyen;Adresse non disponible
Canoe Kayak Tain Tournon;2 All. Pierre de Coubertin, 07300 Tournon-sur-Rhône, France
Canoe Kayak Toulousain;16 Chem. de la Loge, 31400 Toulouse, France
Canoe Kayak Uzerche;19140 Uzerche, France
Canoe Kayak Val De Risle;80 Rue Saint-Pierre, 27290 Montfort-sur-Risle, France
Canoe Kayak Val De Sarre;Impasse du moulin, 57520 Grosbliederstroff, France
Canoe Kayak Villers Le Lac;25130 Villers-le-Lac, France
Canoe Kayak Vivonne Les Pagayous;10 Rue Marcel Bourumeau, 86370 Vivonne, France
Canoe-kayak Saujon;PORT DE RIBEROU, 17600 Saujon, France
Canok Lavaur;81500 Lavaur, France
Canoë Kayak Club Benedictin;5003 rue raymond arnoux, Saint-Benoît 97470, Réunion
Centre Nautique Plouhinec Cap Sizun-pointe Du Raz;Pointe du Raz, 29770 Plogoff, France
Cesson Sevigne Canoe Kayak Les Poissons Volants;35510 Cesson-Sévigné, France
Chambery Le Bourget Canoe Kayak;223 Chem. du Pailleret, 73370 Le Bourget-du-Lac, France
Chateauneuf Pagaie Aventure;Rue du Genada, 18190 Châteauneuf-sur-Cher, France
Chateauneuf Vibrac Canoë Kayak;Aire De Loisir du Bain des Dames, 16120 Châteauneuf-sur-Charente, France
Chauvigny Valdivienne Canoe Kayak;25-21, D749A, 86300 Chauvigny, France
Ck De Quimper Cornouaille;29000 Quimper, France
Ck Lyon Oullins La Mulatiere;69350 La Mulatière, France
Ck M J C Millau;Adresse non disponible
Ck Vallee De Montlucon;03100 Montluçon, France
Ckc Vallee De L'ain;Ain, France
Club C.k Montreuil Juigne;49460 Montreuil-Juigné, France
Club Canoe Kayak Alpes Durance;Bassin de slalom, 05120 L'Argentière-la-Bessée, France
Club Canoe Kayak De La Boulogne-rocheserviere;21 Rue du Peplu, 85620 Rocheservière, France
Club Canoe Kayak Des Gorges De L'ardeche;Gorges de l'Ardèche, 07150 Labastide-de-Virac, France
Club Canoe Kayak Guerledan;22530 Guerlédan, France
Club Canoe Kayak L'islois;Adresse non disponible
Club Canoe Kayak Vienne;Vienne, France
Club Champsaur Canoe Kayak;Adresse non disponible
Club De Canoe Kayak Durance Luberon;le farigoulier, 84120 Pertuis, France
Club De Canoe-kayak Des Ecrins;Massif des Écrins, 38520 Saint-Christophe-en-Oisans, France
Club La Palue Castets;La Palue, 40260 Castets, France
Club Loisirs Pop. Lochrist;9080 Lochristi, Belgium
Club Mirandais De Canoe Kayak;Chem. du Batardeau, 32300 Mirande, France
Club Mjc St Brieuc C.k.;4 Rue du Moulin À Papier, 22000 Saint-Brieuc, France
Club Nautique Aubois;11 Rue du Moulin le Roi, 10800 Saint-Julien-les-Villas, France
Club Nautique De Baud;Pont Augan, 56150 Baud, France
Club Nautique De La Platiere;38 Rue Champcallot 36 et, 42520 Saint-Pierre-de-Bœuf, France
Club Nautique De Marcilly Sur Seine;51260 Marcilly-sur-Seine, France
Club Nautique De Rivery;13 Imp. Motte, 80136 Rivery, France
Club Nautique Pontrieux;22260 Pontrieux, France
Club Nautique Rochefortais;Rue des Pêcheurs d'Islande, 17300 Rochefort, France
Club Sportif Beaumontais Canoe Kayak;Adresse non disponible
Club Sportif De Meaux;Meaux, France
Cock Cholet;49300 Cholet, France
Cognac Canoe Kayak;Adresse non disponible
Csa Ruelle Canoe Kayak;Rue des Seguins, 16600 Ruelle-sur-Touvre, France
Eau Vive Embrun;7 Av. du Lac, 05200 Embrun, France
Eaux Vives Oyonnax C.k.;Eaux Vives Oyonnax, 22 Rue Brillat Savarin, 01100 Oyonnax, France
Etoile Amou Canoe Kayak;201 allée des Sports, Base nautique, 40330 Amou, France
Eyrieux Canoe Kayak;la, plage de théoule, 07360 Les Ollières-sur-Eyrieux, France
F.l.canoe Kayak Chalonnes;Florida, USA
Fjep Bazancourt;68 Rue Jean Jaurès, 51110 Bazancourt, France
Foix Canoe Kayak Eau Vive;Stade d'eau vive du Rebech, Complexe sportif de l'Ayroule, Boulevard François Mitterand, 09000 Foix, France
Fos Canoe Kayak;Adresse non disponible
Foyer Loisirs Manslois;Adresse non disponible
Foyer Pour Tous Mezos;40170 Mézos, France
Golbey Epinal St Nabord;Golbey, France
Grenoble Alpes Canoe Kayak;8 Rue Saint-Ferjus, 38000 Grenoble, France
Haute Correze Kayak Club;Correze, France
Hermes Canoe Kayak;96 Rue de Friancourt, 60370 Hermes, France
Herouville Caen Canoë Kayak;4 Quai François Mitterrand, 14000 Caen, France
Ile De Sein Nautisme;Rte du Phare, 29990 Île-de-Sein, France
Istres Entressen Canoë Kayak;Base Nautique D'entressen 13118 Entressen, 13118 Istres, France
J.s.p.a. Mayenne;17 Rue Pasteur, 53100 Mayenne, France
Joinville Eau Vive;30 Chem. de l'Île Fanac, 94340 Joinville-le-Pont, France
K.c. Tours Sur Marne;51150 Tours-sur-Marne, France
Kayak Club Angerien;30 Quai de Bernouet, 17400 Saint-Jean-d'Angély, France
Kayak Club De Metz;2 Prom. Hildegarde, 57050 Longeville-lès-Metz, France
Kayak Club De Rennes;35 Rue Jean-Marie Huchet, 35000 Rennes, France
Kayak Club De Takamaka;Chemin de Grand Fond, Saint-Benoît 97470, Réunion
Kayak Club Pont Rean;Pont-Réan, 35580 Guichen, France
La Gauloise Ck Montbeliard;11 Rue Henri Mouhot, 25200 Montbéliard, France
La Pagaie Des Avens;Quai Théodore Botrel, 29910 Pont-Aven, France
La Plagne Eaux Vives;95 Rue des Îles, 73210 La Plagne-Tarentaise, France
La Roche Derrien Canoe Kayak;Base des prajou, 22450 La Roche-Jaudy, France
Lanester Canoe Kayak Club;Base Nautique Gilles Gahinet, 28 Rue du Bol d'air, 56600 Lanester, France
Lannion Canoe Kayak;Saint-Christophe, 22300 Lannion, France
Les Alligators - Landerneau;La Garenne, 29800 Landerneau, France
Les Castors Rislois Ck Pont-audemer;Rue Pierre de Coubertin, 27500 Pont-Audemer, France
Loisirs Eaux Vives Beaugency;1 635867 47.778335, 45190 Beaugency, France
Marne Et Gondoire Canoë Kayak;28 Rue du Chariot d'Or, 77400 Lagny-sur-Marne, France
Marseille Mazargues Canoe Kayak;7 Av. Pierre Mendès France, 13008 Marseille, France
Montpellier Eaux Vives;Montpellier, France
Montpellier Mediterranee Metropole Ck-uc;50 Pl. de Zeus, 34000 Montpellier, France
Muret Olympique C.k.;Adresse non disponible
Niagara Canoe Kayak Club;6 bis Rue Bocage, Ste Suzanne 97441, Réunion
No Pasa Nada;Adresse non disponible
Orthez Nautique C.k.;64300 Orthez, France
Pau Canoe-kayak Club Universitaire;12 Av. Corps Franc Pommies, 64110 Jurançon, France
Picquigny Vieille Somme;210 Rue de l'Abreuvoir, 80310 Picquigny, France
Plein Air Ancenien;68 Av. des Alliés, 44150 Ancenis-Saint-Géréon, France
Plein Air Et Nautisme Ck Villersexel;70110 Villersexel, France
Plumeliau Canoe Kayak;56930 Pluméliau-Bieuzy, France
Pont D'ouilly Loisirs;11 rue du stade René Vallée, 14690, 14690 Pont-d'Ouilly, France
Red Star Club Champigny;134 Rue de Bernaü, 94500 Champigny-sur-Marne, France
Reims Olympique C.k.;Adresse non disponible
Rethel Chateau Canoe Kayak;2 Chem. du Lac, 08300 Rethel, France
S.n.o.s. C.k. St Nazaire;44600 Saint-Nazaire, France
Saint Maixent Canoe Kayak;79400 Saint-Maixent-l'École, France
Saint Pee Union Club;Adresse non disponible
Sillery Champagne C.k.;Sillery, France
Spcoc La Colle Sur Loup;864 Bd Honoré Teisseire, 06480 La Colle-sur-Loup, France
Sports Nautiques Asfeld;08190 Asfeld, France
Stade Montois;Adresse non disponible
Stadoceste Tarbais C.k.;Adresse non disponible
Tardoire Canoe Kayak;Tardoire, France
Torcy Canoe Kayak;6 Rte de Noisiel, 77200 Torcy, France
Touring Canoe Kayak Montmerle 3 Rivieres;Adresse non disponible
U.s. Orleans Canoe Kayak;Adresse non disponible
U.s. Sauveterre C.k.;United States
U.s.c. Nay Canoe Kayak;Los Angeles, CA 90007, USA
U.s.f. Ck La Fleche;Poulliers, 72200 La Flèche, France
U.s.m. Saran Canoe Kayak;1630 Anc. Rte de Chartres, 45770 Saran, France
Union Sportive Charitoise;Adresse non disponible
Ur Tipula;129 Xilarreneko Bidea, 64250 Itxassou, France
V.p.a. Pont D'arc;Chem. du Tiourre 108, 07150 Vallon-Pont-d'Arc, France
Val De L'indre Canoe Kayak;Rue du Moulin, 37250 Veigné, France
Val De Reuil Pagaie Passion;Val-de-Reuil, France
Vallee Vonne Canoe Kayak;Adresse non disponible
Venerque Eaux Vives;All. du Duc de Ventadour, 31810 Venerque, France
Vinon Sur Verdon Canoe Kayak;83560 Vinon-sur-Verdon, France
Voray Canoe Kayak;8 Rue du Moulin, 70190 Voray-sur-l'Ognon, France
