Club;Adresse;Coordonnées
A.s. Chelles Et Cheminots;Complexe sportif Maurice Grouselle 61 avenue Henin prolongée, 77500 Chelles, France;[2.578865, 48.881573]
Aixe Canoe Kayak;Adresse de nos locaux et rdv pour les stages : Rue des Deux Ponts Site de location : Moulin de la Mie à St Priest sous Aixe, 87700 Aixe-sur-Vienne, France;[1.114773, 45.812574]
Albi Kayak Canoe;Pont de Cantepau, 81000 Albi, France;[2.153171, 43.937882]
Alck Bagneres De Bigorre;65200 Bagnères-de-Bigorre, France;[0.128834, 42.999519]
Alliance Ck Val De Loire;Centre-Val de Loire, France;[1.328988, 47.590942]
Amicale Laique Pontouvre;17 Av. du Général de Gaulle, 16160 Gond-Pontouvre, France;[0.166713, 45.6686]
Amicale Laique Toul Canoe Kayak;93 Rue de la Baignade des Chevaux, 54200 Toul, France;[5.89581, 48.67071]
Ancerville-bar Le Duc;55170 Ancerville, France;[5.023451, 48.634193]
Angouleme Canoe Kayak;4 Pl. de Bourgines, 16000 Angoulême, France;[0.155492, 45.660521]
Annonay Canoe Kayak Club;15 Rue de Fontanes, 07100 Annonay, France;[4.677018, 45.23622]
As Gerardmer Canoe Kayak;88400 Gérardmer, France;[6.839761, 48.072021]
Ascpa C.k. Strasbourg;20 Rue de la Plaine des Bouchers, 67100 Strasbourg, France;[7.736305, 48.572021]
Ass. Nautique Vierzon;18100 Vierzon, France;[2.07905, 47.224288]
Ass. Sportive Mantaise;Bd Sully, 78200 Mantes-la-Jolie, France;[1.676786, 48.997556]
Bac Ck Sevres Issy;4 Rue de Saint-Cloud, 92310 Sèvres, France;[2.224234, 48.828966]
Bommes Nautique Ck;22 Le Tachon, 33210 Bommes, France;[-0.336002, 44.568494]
Bugey Rhone Canoe Kayak;Chem. du Point Vert, 01470 Serrières-de-Briord, France;[5.428825, 45.818884]
C.c.k. Vallee Du Sanon;Grande Rue, 54370 Einville-au-Jard, France;[6.486614, 48.655249]
C.k. Bousse Hagondange;Hagondange, France;[6.161422, 49.250266]
C.k. Chateau Thebaud;Château-Thébaud, France;[-1.443373, 47.116406]
C.k. Dormans Eaux Libres;51700 Dormans, France;[3.622305, 49.062346]
C.k. Mortagne Sur Sevre;85290 Mortagne-sur-Sèvre, France;[-0.958363, 46.987567]
C.k. Pont De Roide;14 bis Rue du Général Herr, 25150 Pont-de-Roide, France;[6.773711, 47.384598]
C.k. St Maurice Gourdans;Chem. de Saint-Maurice-de-Gourdans, 01120 Dagneux, France;[5.081725, 45.850503]
C.k.c Plancoet;22130 Plancoët, France;[-2.222301, 48.519276]
C.k.c. De L'ill Selestat;67600 Sélestat, France;[7.45087, 48.264038]
C.k.c. Guingampais;22200 Guingamp, France;[-3.153394, 48.560722]
C.k.c. Nancy Tomblaine;54510 Tomblaine, France;[6.21855, 48.684819]
C.k.c.i.r. St Gregoire;Canoë Kayak Club de l'Ile Robinson Robinson, 35760 Saint-Grégoire, France;[-1.679564, 48.150408]
C.p.a. La Voulzie - Lathus;La Voulzie, 86390 Lathus-Saint-Rémy, France;[0.931886, 46.31165]
Cadpa Huningue;8 All. des Marronniers, 68330 Huningue, France;[7.588486, 47.594368]
Canoe Associatif Romanais Peageois;19 Av. Duchesne, 26100 Romans-sur-Isère, France;[5.043214, 45.04712]
Canoe Club Du Lie;lieu dit, Le Pont Querra, 22210 Plémet, France;[-2.624523, 48.179813]
Canoe Kayak Annemasse Mont-blanc;35 Rte des Déportés, 74100 Etrembières, France;[6.230621, 46.182532]
Canoe Kayak Aturin;Rue de la Violette, 40800 Aire-sur-l'Adour, France;[-0.254924, 43.701163]
Canoe Kayak Aubeterre;6 route de riberac, 16390 Aubeterre-sur-Dronne, France;[0.173818, 45.270173]
Canoe Kayak Cern;Espl. des Particules 1, 1211 Meyrin, Switzerland;[5.048169, 45.090347]
Canoe Kayak Clisson;44190 Clisson, France;[-1.271062, 47.092445]
Canoe Kayak Club Acigne;58 Rue du Fort de la Motte, 35690 Acigné, France;[-1.525628, 48.132099]
Canoe Kayak Club Bourg Saint Andeol;07700 Bourg-Saint-Andéol, France;[4.631198, 44.374612]
Canoe Kayak Club Brionne;6B Av. de la République, 27800 Brionne, France;[0.722093, 49.191117]
Canoe Kayak Club Cessenon;Impasse du, Rue du Viognier, 34460 Cessenon-sur-Orb, France;[3.062845, 43.450033]
Canoe Kayak Club De Chasseneuil Du Poitou;Chasseneuil-du-Poitou, France;[0.360627, 46.646348]
Canoe Kayak Club De Tours;5 Av. de Florence, 37000 Tours, France;[0.706871, 47.374467]
Canoe Kayak Club De Vichy;Chem. de Beauregard, 03700 Bellerive-sur-Allier, France;[3.386479, 46.128977]
Canoe Kayak Club Des Trois Rivieres;Av. du 11 Novembre, 26760 Beaumont-lès-Valence, France;[4.93935, 44.860864]
Canoe Kayak Club Du Mans;2 Rue Paul Doumer, 72100 Le Mans, France;[0.232302, 47.989892]
Canoe Kayak Club Fertois;Av. du Général de Gaulle, 72400 La Ferté-Bernard, France;[0.653789, 48.179105]
Canoe Kayak Club France;France;[0.221494, 44.518707]
Canoe Kayak Club Orleans;Base De L'ile Charlemagne, 45650 Saint-Jean-le-Blanc, France;[1.92527, 47.894332]
Canoe Kayak Club Poitevin;Av. de Lorch, 86280 Saint-Benoît, France;[0.339769, 46.549867]
Canoe Kayak Club Senonais;Quai Boffrand, 89100 Sens, France;[3.274425, 48.19577]
Canoe Kayak Club Sevrier;Sévrier, France;[2.253232, 48.927432]
Canoe Kayak Club St Omer;Saint-Omer, France;[2.275524, 50.763422]
Canoe Kayak Club St Victurnien;13 Rte d'Aixe, 87420 Saint-Victurnien, France;[1.029164, 45.876563]
Canoe Kayak Club Vallee Du Dropt;47800 La Sauvetat-du-Dropt, France;[0.331769, 44.644974]
Canoe Kayak De Quimperle;29300 Quimperlé, France;[-3.552977, 47.861426]
Canoe Kayak De Vertou;Vertou, France;[-1.468983, 47.169197]
Canoe Kayak Du Pays De Broceliande;Rte d'Iffendic, 35160 Montfort-sur-Meu, France;[-1.96464, 48.138128]
Canoe Kayak Du Val D'albret;156 Rue de la Cale, 47230 Lavardac, France;[0.296343, 44.181142]
Canoe Kayak Haute Isere;1090 Rte d'Hauteville, 73700 Bourg-Saint-Maurice, France;[6.765966, 45.602978]
Canoe Kayak Jarnac Sports;16200 Jarnac, France;[-0.169285, 45.690183]
Canoe Kayak Lagny;119 Quai de la Gourdine, 77400 Lagny-sur-Marne, France;[2.719069, 48.882024]
Canoe Kayak Le Mas D'agenais;47430 Le Mas-d'Agenais, France;[0.215575, 44.410824]
Canoe Kayak Pontarlier;25300 Pontarlier, France;[6.374948, 46.907494]
Canoe Kayak Tain Tournon;2 All. Pierre de Coubertin, 07300 Tournon-sur-Rhône, France;[4.816552, 45.073817]
Canoe Kayak Toulousain;16 Chem. de la Loge, 31400 Toulouse, France;[1.434442, 43.574347]
Canoe Kayak Uzerche;19140 Uzerche, France;[1.570912, 45.427586]
Canoe Kayak Val De Risle;80 Rue Saint-Pierre, 27290 Montfort-sur-Risle, France;[0.661463, 49.298215]
Canoe Kayak Val De Sarre;Impasse du moulin, 57520 Grosbliederstroff, France;[7.029535, 49.155451]
Canoe Kayak Villers Le Lac;25130 Villers-le-Lac, France;[6.703623, 47.052162]
Canoe Kayak Vivonne Les Pagayous;10 Rue Marcel Bourumeau, 86370 Vivonne, France;[0.258576, 46.423384]
Canoe-kayak Saujon;PORT DE RIBEROU, 17600 Saujon, France;[-0.931854, 45.673379]
Canok Lavaur;81500 Lavaur, France;[1.81627, 43.69654]
Canoë Kayak Club Benedictin;5003 rue raymond arnoux, Saint-Benoît 97470, Réunion;[55.698152, -21.007037]
Centre Nautique Plouhinec Cap Sizun-pointe Du Raz;Pointe du Raz, 29770 Plogoff, France;[-4.722825, 48.038156]
Cesson Sevigne Canoe Kayak Les Poissons Volants;35510 Cesson-Sévigné, France;[-1.596972, 48.123772]
Chambery Le Bourget Canoe Kayak;223 Chem. du Pailleret, 73370 Le Bourget-du-Lac, France;[5.862588, 45.649851]
Chateauneuf Pagaie Aventure;Rue du Genada, 18190 Châteauneuf-sur-Cher, France;[2.317431, 46.856769]
Chateauneuf Vibrac Canoë Kayak;Aire De Loisir du Bain des Dames, 16120 Châteauneuf-sur-Charente, France;[1.384707, 47.239543]
Chauvigny Valdivienne Canoe Kayak;25-21, D749A, 86300 Chauvigny, France;[0.651844, 46.560161]
Ck De Quimper Cornouaille;29000 Quimper, France;[-4.100444, 47.988204]
Ck Lyon Oullins La Mulatiere;69350 La Mulatière, France;[4.810694, 45.733604]
Ck Vallee De Montlucon;03100 Montluçon, France;[2.616841, 46.340204]
Ckc Vallee De L'ain;Ain, France;[5.353993, 46.233033]
Club C.k Montreuil Juigne;49460 Montreuil-Juigné, France;[-0.607601, 47.530534]
Club Canoe Kayak Alpes Durance;Bassin de slalom, 05120 L'Argentière-la-Bessée, France;[6.563158, 44.793253]
Club Canoe Kayak De La Boulogne-rocheserviere;21 Rue du Peplu, 85620 Rocheservière, France;[-1.513606, 46.934088]
Club Canoe Kayak Des Gorges De L'ardeche;Gorges de l'Ardèche, 07150 Labastide-de-Virac, France;[4.401861, 44.351511]
Club Canoe Kayak Guerledan;22530 Guerlédan, France;[-2.951116, 48.192972]
Club Canoe Kayak Vienne;Vienne, France;[4.87693, 45.52943]
Club De Canoe Kayak Durance Luberon;le farigoulier, 84120 Pertuis, France;[5.50777, 43.66946]
Club De Canoe-kayak Des Ecrins;Massif des Écrins, 38520 Saint-Christophe-en-Oisans, France;[6.291485, 44.932955]
Club La Palue Castets;La Palue, 40260 Castets, France;[-1.168639, 43.886112]
Club Loisirs Pop. Lochrist;9080 Lochristi, Belgium;[-4.234842, 48.631419]
Club Mirandais De Canoe Kayak;Chem. du Batardeau, 32300 Mirande, France;[0.408407, 43.512994]
Club Mjc St Brieuc C.k.;4 Rue du Moulin À Papier, 22000 Saint-Brieuc, France;[-2.764621, 48.522464]
Club Nautique Aubois;11 Rue du Moulin le Roi, 10800 Saint-Julien-les-Villas, France;[4.09697, 48.280672]
Club Nautique De Baud;Pont Augan, 56150 Baud, France;[-3.109827, 47.883262]
Club Nautique De La Platiere;38 Rue Champcallot 36 et, 42520 Saint-Pierre-de-Bœuf, France;[4.749916, 45.3846]
Club Nautique De Marcilly Sur Seine;51260 Marcilly-sur-Seine, France;[3.707601, 48.557879]
Club Nautique De Rivery;13 Imp. Motte, 80136 Rivery, France;[2.322663, 49.898018]
Club Nautique Pontrieux;22260 Pontrieux, France;[-3.161006, 48.700078]
Club Nautique Rochefortais;Rue des Pêcheurs d'Islande, 17300 Rochefort, France;[-0.990041, 45.948194]
Club Sportif De Meaux;Meaux, France;[2.9003, 48.959415]
Cock Cholet;49300 Cholet, France;[-0.875399, 47.036408]
Csa Ruelle Canoe Kayak;Rue des Seguins, 16600 Ruelle-sur-Touvre, France;[0.215197, 45.67864]
Eau Vive Embrun;7 Av. du Lac, 05200 Embrun, France;[6.482385, 44.550411]
Eaux Vives Oyonnax C.k.;Eaux Vives Oyonnax, 22 Rue Brillat Savarin, 01100 Oyonnax, France;[5.64826, 46.251713]
Etoile Amou Canoe Kayak;201 allée des Sports, Base nautique, 40330 Amou, France;[-0.741451, 43.588384]
Eyrieux Canoe Kayak;la, plage de théoule, 07360 Les Ollières-sur-Eyrieux, France;[4.613877, 44.802949]
F.l.canoe Kayak Chalonnes;Florida, USA;[-2.588501, 47.979625]
Fjep Bazancourt;68 Rue Jean Jaurès, 51110 Bazancourt, France;[4.165422, 49.363555]
