Boat,Category,Club,Courses_Nat,Division,Name,Num_Courses,Points,Points_Club,Rank,Scratch,Year
C1H,S,Canoe Kayak Pontarlier,"
			3		",niveau,Jules Bernardet,"
			4		","
			24.01		",1000,"
			1		","
			1		","
			2000		"
K1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Mathieu Biazizzo,"
			4		","
			25.28		",1000,"
			2		","
			1		","
			1991		"
K1H,S,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Titouan Castryck,"
			4		","
			25.99		",999,"
			3		","
			2		","
			2004		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Anatole Delassus,"
			4		","
			28.05		",998,"
			4		","
			3		","
			2001		"
K1H,S,Red Star Club Champigny,"
			3		",niveau,Mathurin Madore,"
			4		","
			28.52		",997,"
			5		","
			4		","
			1996		"
K1D,S,V.p.a. Pont D'arc,"
			3		",niveau,Coline Charel,"
			4		","
			30.82		",1000,"
			6		","
			1		","
			2000		"
K1D,S,Muret Olympique C.k.,"
			3		",niveau,Emma Vuitton,"
			4		","
			32.81		",996,"
			7		","
			2		","
			2003		"
K1D,S,Kayak Club De Rennes,"
			3		",niveau,Camille Prigent,"
			4		","
			35.34		",993,"
			8		","
			3		","
			1997		"
C1H,S,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Mewen Debliquy,"
			4		","
			35.36		",998,"
			9		","
			2		","
			2003		"
K1H,S,Muret Olympique C.k.,"
			3		",niveau,Leo Vuitton,"
			4		","
			35.64		",996,"
			10		","
			5		","
			2001		"
C1H,S,Canoe Kayak De Quimperle,"
			3		",niveau,Nicolas Gestin,"
			4		","
			37.77		",995,"
			11		","
			3		","
			2000		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Benjamin Renia,"
			4		","
			37.86		",994,"
			12		","
			6		","
			1990		"
K1H,S,Club Mjc St Brieuc C.k.,"
			3		",niveau,Malo Quemeneur,"
			4		","
			40.11		",993,"
			13		","
			7		","
			1998		"
K1H,S,Torcy Canoe Kayak,"
			3		",niveau,Vincent Delahaye,"
			4		","
			43.63		",992,"
			14		","
			8		","
